3,17,8,28,7,-2,1,9,16,4,14,20,10,15,-115,4061,-134,-24,12,-4,163243
3,17,9,28,5,-2,3,8,14,3,15,17,10,15,-111,4059,-130,-24,9,-3,163243
5,13,11,28,4,-3,0,11,18,5,16,22,8,13,-114,4063,-129,-20,8,-4,163243
4,15,9,28,5,-2,-1,9,16,3,16,19,8,15,-107,4061,-130,-18,12,-5,163243
3,18,8,28,6,-3,-2,9,15,4,16,19,9,14,-110,4059,-136,-20,4,-3,163243
5,17,10,27,6,-5,4,9,16,3,15,18,9,16,-114,4063,-125,-20,10,-4,163243
3,17,10,28,7,-2,-2,9,18,5,17,20,9,14,-113,4056,-133,-22,10,0,163243
5,17,7,28,6,-1,-1,9,17,5,16,19,8,14,-115,4061,-128,-22,12,-3,163243
5,16,10,27,6,0,3,10,16,5,18,18,12,17,-112,4065,-122,-22,12,-5,163243
4,16,10,27,3,-2,-2,11,17,4,16,21,10,14,-110,4059,-131,-23,10,-2,163243
4,18,10,27,5,-2,1,9,15,3,15,19,9,15,-115,4059,-127,-21,11,-5,163243
3,18,8,29,6,-3,-1,11,16,5,16,22,8,15,-110,4059,-124,-21,7,-3,163243
4,17,8,28,5,-1,-1,12,16,5,14,19,10,14,-109,4056,-131,-20,5,-3,163243
4,17,8,28,3,-2,1,11,17,5,14,20,10,14,-111,4062,-126,-21,10,-6,163243
5,18,10,28,5,-1,1,11,16,4,19,18,10,15,-115,4060,-129,-23,12,-10,163243
4,16,9,28,4,0,0,11,16,4,17,20,10,15,-110,4062,-124,-22,10,-6,163244
5,17,7,28,6,-2,1,10,16,4,16,20,10,14,-113,4057,-127,-25,8,-10,163244
5,12,13,26,4,-1,-1,11,19,6,16,21,10,13,-119,4054,-129,-25,7,-8,163244
2,18,7,28,6,0,-2,11,16,4,17,22,9,14,-122,4053,-126,-25,15,-8,163244
2,18,8,30,6,-2,3,10,16,5,17,19,8,15,-120,4059,-128,-27,7,-5,163244
3,18,8,29,5,-4,-2,11,16,4,16,19,10,14,-120,4059,-122,-24,7,-5,163244
3,19,8,27,4,-1,0,10,17,5,15,18,9,14,-121,4061,-126,-23,11,-9,163244
3,18,8,28,4,-3,-2,10,16,5,16,20,10,14,-126,4060,-126,-20,10,-9,163244
3,17,7,28,5,-2,-2,10,17,4,17,19,10,14,-122,4060,-135,-18,4,-8,163244
2,14,10,28,3,0,1,12,18,5,16,22,8,13,-125,4061,-130,-13,9,-8,163244
4,18,6,28,4,-3,1,11,17,3,16,19,10,16,-128,4055,-135,-20,8,-2,163244
3,15,9,28,3,-1,1,11,19,5,17,22,9,13,-125,4056,-133,-27,6,3,163244
1,18,6,28,5,-5,1,10,16,5,16,19,10,14,-119,4058,-133,-24,7,2,163244
3,19,7,28,4,-2,-2,10,15,4,17,22,8,14,-122,4055,-133,-22,13,-1,163244
3,15,11,29,4,0,-1,10,16,7,17,23,8,13,-119,4065,-131,-22,17,-2,163244
4,15,13,28,3,-1,1,12,20,7,16,23,9,13,-119,4065,-135,-21,12,-3,163244
2,18,8,28,7,-3,2,10,15,4,15,20,10,15,-120,4059,-134,-21,9,-6,163244
5,17,11,29,5,-2,-2,13,18,6,15,22,7,14,-120,4058,-137,-23,6,-8,163244
2,19,8,28,7,-3,5,8,15,5,17,19,9,14,-126,4060,-134,-20,7,-10,163244
3,12,13,29,2,-2,1,12,18,6,16,22,8,13,-126,4060,-135,-24,10,-9,163244
3,20,6,29,3,-3,0,10,17,4,17,18,8,15,-127,4056,-136,-21,10,-6,163244
4,14,12,28,3,1,1,12,19,6,16,23,10,15,-125,4053,-142,-19,8,-4,163244
2,20,7,28,4,-1,-1,11,18,5,15,20,11,14,-124,4060,-137,-21,5,-3,163244
3,20,7,28,5,0,0,9,16,4,15,21,10,15,-127,4059,-136,-24,9,-2,163244
3,20,8,28,5,-4,1,10,17,5,15,20,10,16,-125,4054,-138,-26,12,-1,163245
3,17,11,27,4,-2,0,11,19,5,17,24,8,13,-127,4061,-132,-25,10,-2,163245
2,18,9,29,4,0,0,11,18,4,17,23,10,13,-124,4059,-138,-26,8,0,163245
2,17,13,28,3,0,2,13,18,7,14,22,9,12,-124,4067,-127,-22,11,-1,163245
2,17,10,28,5,-1,0,11,19,5,16,21,9,14,-125,4055,-139,-22,8,-2,163245
1,21,9,27,5,-3,0,11,16,6,16,22,10,15,-125,4061,-133,-21,9,-2,163245
3,15,14,28,3,0,0,11,17,6,16,24,10,14,-126,4057,-138,-25,8,-3,163245
3,21,7,30,5,-1,-2,11,18,3,16,21,9,15,-122,4059,-132,-24,7,-6,163245
2,18,8,28,6,-3,4,8,15,5,14,19,11,16,-129,4059,-137,-23,11,-5,163245
2,16,14,27,2,-2,0,12,19,7,16,22,9,14,-123,4061,-136,-23,6,-2,163245
3,19,10,30,4,1,0,12,18,7,16,23,8,15,-123,4058,-142,-21,5,-3,163245
1,20,9,30,6,-4,1,11,18,4,16,20,10,15,-124,4062,-135,-21,5,-7,163245
3,20,8,30,5,-2,-1,10,18,6,17,22,11,14,-126,4060,-139,-24,11,-2,163245
3,16,14,29,3,0,0,13,17,6,17,22,8,13,-124,4059,-137,-27,13,-2,163245
3,19,7,28,5,-2,1,11,16,5,15,20,10,15,-125,4058,-139,-30,18,1,163245
3,16,10,28,5,0,-1,11,19,6,16,21,8,13,-108,4068,-132,-13,24,1,163245
2,18,8,27,3,1,-2,13,19,5,17,21,9,15,-123,4065,-131,-12,36,-2,163245
5,17,12,28,2,-1,1,12,19,7,17,23,10,14,-113,4068,-136,-15,46,-2,163245
3,19,8,29,5,-1,1,10,18,6,16,20,10,13,-110,4060,-144,-21,0,-3,163245
3,16,12,27,2,-2,0,12,18,5,16,23,9,14,-122,4065,-136,-18,0,-6,163245
3,21,6,28,5,-2,2,10,17,6,17,18,10,15,-117,4056,-152,-18,-11,-5,163245
3,19,7,29,5,0,-1,10,16,4,16,21,10,14,-118,4063,-129,-39,-35,4,163246
3,16,12,27,3,1,0,11,18,6,16,23,10,13,-133,4058,-136,-15,-21,-4,163246
4,18,10,30,5,0,0,10,17,6,16,22,8,15,-128,4053,-139,-25,-12,-4,163246
2,20,6,28,6,-4,-3,10,16,4,16,20,10,15,-121,4075,-118,-13,-1,-11,163246
2,20,8,28,6,-3,4,10,15,3,15,18,11,15,-128,4063,-143,-11,-8,-16,163246
2,20,8,27,5,-4,2,9,16,2,15,19,9,15,-138,4054,-148,-17,2,-12,163246
2,21,6,27,7,-3,2,9,17,4,14,21,10,15,-125,4058,-153,-21,-2,-10,163246
3,22,5,28,6,-2,-1,10,17,3,14,21,9,14,-137,4052,-135,-25,8,-10,163246
3,20,8,28,5,0,0,11,18,4,15,21,10,15,-133,4047,-151,-21,18,-8,163246
1,22,6,28,6,-2,-1,12,15,6,16,21,10,12,-138,4053,-151,-32,17,-1,163246
2,16,10,28,2,0,2,10,19,7,15,21,9,14,-130,4058,-140,-26,18,3,163246
1,19,7,28,5,-1,1,12,16,4,16,21,9,14,-128,4068,-132,-25,18,5,163246
3,21,6,28,6,-2,-1,10,18,5,16,21,9,15,-128,4058,-153,-19,8,11,163246
2,20,7,28,5,-3,1,10,16,5,16,19,13,16,-128,4068,-129,-22,19,5,163246
2,19,6,28,6,-2,0,9,16,4,16,21,10,14,-132,4050,-143,-33,30,14,163246
2,17,7,27,5,-2,1,10,14,3,16,19,9,16,-116,4053,-150,-45,4,17,163246
1,17,7,29,7,-3,1,9,15,5,15,22,9,15,-108,4070,-119,-40,18,7,163246
3,16,8,28,6,-2,1,9,15,5,15,20,11,16,-106,4069,-129,-37,14,4,163246
3,15,11,26,5,-2,4,8,15,5,16,18,10,13,-103,4063,-133,-31,25,11,163247
5,14,10,28,5,-2,3,8,15,4,15,17,11,14,-97,4063,-130,-37,25,3,163247
5,11,13,26,4,-3,5,10,14,5,13,18,10,13,-105,4065,-131,-33,20,-1,163247
5,13,11,27,5,-2,2,8,13,4,16,18,10,14,-93,4055,-131,-32,12,2,163247
4,14,10,26,4,-3,2,8,14,2,15,18,10,14,-86,4062,-126,-32,9,1,163247
4,13,12,28,5,-2,3,8,12,4,14,18,10,16,-94,4064,-124,-27,16,-3,163247
7,11,13,27,5,0,5,8,12,5,15,19,11,15,-103,4062,-124,-24,17,-3,163247
5,9,11,26,5,-3,5,8,13,4,15,17,8,14,-92,4059,-124,-34,12,1,163247
6,8,14,27,3,-2,6,8,14,4,14,18,10,15,-89,4059,-122,-29,5,0,163247
8,12,9,27,4,-4,1,9,14,3,15,19,10,15,-91,4062,-119,-24,11,-4,163247
6,12,11,28,5,-3,3,8,13,3,15,18,8,14,-95,4064,-120,-19,12,-3,163247
8,12,11,29,4,-4,4,8,14,4,15,18,9,13,-95,4059,-123,-22,7,-3,163247
7,13,10,29,4,0,2,9,14,4,16,19,10,15,-94,4057,-117,-27,11,-4,163247
6,13,11,28,4,-2,0,9,15,4,14,21,10,14,-91,4063,-117,-26,9,-3,163247
7,11,11,29,5,-3,3,8,16,5,15,18,10,16,-91,4059,-122,-24,8,-6,163247
9,12,10,27,5,-4,4,8,14,5,15,19,9,15,-92,4059,-123,-20,2,-6,163247
7,10,12,27,5,-3,6,9,13,5,14,18,10,14,-91,4059,-124,-25,4,-5,163247
7,12,12,28,5,-2,4,9,14,5,15,19,10,15,-93,4064,-119,-18,5,-5,163247
10,8,13,26,4,-1,4,10,14,5,15,20,8,14,-92,4056,-129,-20,3,-3,163247
8,12,8,26,6,-1,3,9,15,5,15,20,10,14,-95,4060,-124,-20,8,-4,163247
7,12,10,28,6,-2,2,11,15,4,16,21,10,15,-88,4062,-127,-21,7,-2,163247
6,13,11,29,7,-1,2,10,14,4,16,22,10,14,-94,4058,-129,-22,14,-1,163248
8,12,11,29,5,-4,4,10,14,5,16,20,10,15,-86,4061,-128,-25,7,-2,163248
9,10,12,27,5,-2,5,9,14,3,14,17,10,13,-89,4064,-124,-22,11,-5,163248
9,11,13,28,4,-2,5,7,14,6,16,19,10,15,-88,4061,-125,-23,10,-2,163248
9,9,12,28,6,-2,4,8,14,4,16,19,9,15,-93,4056,-130,-24,26,-12,163248
9,10,14,27,6,0,5,9,15,6,15,17,10,15,-86,4063,-121,-25,16,-4,163248
9,12,11,30,4,-1,3,9,16,4,16,19,9,14,-95,4053,-134,-18,15,-13,163248
8,11,14,29,4,-4,5,9,15,5,15,18,10,14,-92,4055,-130,-25,20,-9,163248
6,12,11,30,4,-2,5,9,16,3,14,18,10,16,-101,4055,-134,-26,11,-15,163248
6,13,11,28,6,-2,5,9,13,5,15,19,9,14,-100,4053,-127,-29,0,-6,163248
7,15,9,30,6,0,0,10,18,6,16,21,10,15,-95,4062,-123,-23,1,-3,163248
5,16,10,29,4,-2,1,10,15,5,16,20,10,14,-102,4062,-124,-14,10,-5,163248
4,15,9,27,5,-4,2,10,16,4,17,20,7,15,-110,4061,-121,-21,11,-3,163248
6,15,10,28,6,-1,3,10,16,5,16,20,10,15,-99,4060,-124,-23,4,0,163248
6,15,7,27,6,-2,-2,9,18,5,16,21,10,13,-102,4058,-115,-29,6,-3,163248
7,15,9,28,6,-3,2,9,14,5,16,19,12,16,-103,4061,-118,-26,11,-7,163248
5,15,10,27,6,-3,4,8,15,4,15,19,10,15,-101,4062,-126,-19,1,-9,163248
7,12,11,27,6,-4,7,10,14,5,15,18,11,15,-102,4060,-124,-21,3,-8,163248
6,15,9,28,6,-1,3,10,14,5,16,19,9,16,-114,4058,-121,-22,12,-6,163249
6,15,10,28,7,-4,4,10,15,4,15,19,11,15,-104,4062,-126,-22,2,-6,163249
6,14,10,27,6,-4,4,8,15,4,14,18,9,15,-107,4057,-123,-21,7,-3,163249
3,16,9,28,6,-2,4,8,15,3,16,18,11,14,-103,4055,-125,-22,6,-6,163249
3,16,8,28,6,-3,4,9,15,4,16,19,10,14,-108,4058,-120,-19,11,-6,163249
7,12,13,28,2,0,0,10,18,7,16,23,9,13,-103,4059,-127,-19,7,-2,163249
6,11,13,27,2,-1,-1,10,19,6,15,22,9,14,-107,4060,-120,-20,7,-3,163249
4,16,9,28,5,-4,4,10,15,4,14,19,10,14,-109,4052,-124,-25,11,-3,163249
4,17,8,30,5,-1,-2,11,16,5,17,22,10,15,-108,4063,-116,-23,10,-2,163249
3,16,8,30,7,-1,0,11,17,4,18,23,10,15,-99,4067,-118,-17,4,-1,163249
6,16,9,28,6,-3,4,10,17,5,15,21,9,15,-108,4069,-122,-14,9,-8,163249
5,18,6,28,6,-1,1,10,16,4,17,22,10,15,-108,4061,-125,-15,8,-9,163249
3,17,8,28,5,-3,1,8,16,4,16,22,9,15,-108,4062,-130,-17,14,-7,163249
